time,open,high,low,close,Volume
2010-10-29,75.8,75.8,73.05,74.2,440000
2010-11-01,75.2,80.2,75,78.55,5036000
2010-11-02,78.5,80.6,76.45,77.1,4220000
2010-11-03,77.5,78.5,76.1,76.5,1364000
2010-11-04,76.9,76.9,75.3,76.05,1048000
2010-11-05,76.5,76.7,76.05,76.55,240000
2010-11-08,76.85,77.25,75.9,76,852000
2010-11-09,76.3,84.2,75.8,83.3,23544000
2010-11-10,84,84.9,83.1,83.65,5024000
2010-11-11,84.3,84.4,77.75,79.7,4044000
2010-11-12,79,82.75,78.25,79.15,4964000
2010-11-15,79.65,79.65,76.55,78.5,1928000
2010-11-16,78.75,80.25,75.1,75.55,2464000
2010-11-18,76.5,79.45,72.1,79.1,3412000
2010-11-19,78.6,79.5,76.05,78.3,2164000
2010-11-22,79.2,80.05,77,78.55,2512000
2010-11-23,77.25,78.7,73,76.8,3780000
2010-11-24,78.3,86.05,78.3,83.4,12832000
2010-11-25,84.4,87.9,83.5,84.2,4988000
2010-11-26,84.4,85.4,77.25,82.4,5172000
2010-11-29,82.5,83.2,79.55,80.4,2564000
2010-11-30,79.3,83.6,79.15,82.7,6720000
2010-12-01,82.85,85.3,82.7,83.25,6724000
2010-12-02,84,84,81.5,82.45,2456000
2010-12-03,82.3,83.3,79.7,80.65,1636000
2010-12-06,81.4,81.4,78.05,78.3,1844000
2010-12-07,78.65,78.7,76.1,77.3,1628000
2010-12-08,76.3,78.9,75.05,75.45,2692000
2010-12-09,75.6,75.8,67.3,70.05,3524000
2010-12-10,70,72,66.65,71.45,5328000
2010-12-13,72,74.5,69,73.65,2996000
2010-12-14,74.45,75.25,73.75,74.2,1416000
2010-12-15,73.95,73.95,70.5,71.7,1488000
2010-12-16,72.5,73.6,71.25,72.75,1856000
2010-12-20,72,73.6,70.9,71.45,1096000
2010-12-21,72,74.35,71.9,73.4,2532000
2010-12-22,73.85,73.85,71.75,72.75,1096000
2010-12-23,72.75,72.75,71.25,71.55,1004000
2010-12-24,70.35,71.2,69.4,70.15,2256000
2010-12-27,70.8,72.1,69.4,69.45,2640000
2010-12-28,70,70.1,68.8,69.65,2512000
2010-12-29,70.2,70.6,69.45,69.75,2564000
2010-12-30,70.5,70.6,69.05,69.9,3924000
2010-12-31,70.1,72.2,70,71.4,3420000
2011-01-03,72.5,74.25,72.5,73.15,4120000
2011-01-04,73.75,73.9,71.7,72.05,2496000
2011-01-05,72.1,72.4,69.7,70,1548000
2011-01-06,70.6,70.6,65.85,66.45,3980000
2011-01-07,66.25,66.25,63.2,63.45,4012000
2011-01-10,63.15,63.35,60.85,61.35,6052000
2011-01-11,61.45,62.95,58.75,62.1,3740000
2011-01-12,63.5,64.4,60.8,64,3028000
2011-01-13,63.5,64.8,62.55,62.7,1808000
2011-01-14,62.3,62.55,59.7,60.15,1904000
2011-01-17,58.8,59.8,57.6,57.95,1588000
2011-01-18,58.3,59.45,57.45,59.15,1788000
2011-01-19,59.6,61.7,57.9,61.1,4312000
2011-01-20,61.4,63.55,60.7,61.8,10716000
2011-01-21,62.1,63.1,61.6,61.75,2560000
2011-01-24,62,62.3,61.5,61.85,1308000
2011-01-25,62.1,62.15,59.85,60,2864000
2011-01-27,60.8,60.8,56.8,57.55,5696000
2011-01-28,56.7,57.95,52.6,54,3420000
2011-01-31,52.85,55,51,54.8,3676000
2011-02-01,55,56.15,51.55,52,3464000
2011-02-02,52.95,53.3,50.7,51.15,2384000
2011-02-03,51,52.6,50.65,52.35,1908000
2011-02-04,52.15,53.15,51.05,51.2,1548000
2011-02-07,51.15,51.4,49.55,50.1,1260000
2011-02-08,50,50.2,46.3,46.7,1920000
2011-02-09,45.65,47.4,43.7,44.95,3324000
2011-02-10,45,48.5,45,47.85,2112000
2011-02-11,48.6,51.4,47.75,51.3,3124000
2011-02-14,52.3,56.85,52,56.55,3472000
2011-02-15,56.8,58.2,54.95,56.15,3376000
2011-02-16,56.5,56.7,55.35,56.55,1312000
2011-02-17,56.6,56.8,55.8,56.25,732000
2011-02-18,56.5,57.45,52,52.8,2576000
2011-02-21,52.5,52.65,50.7,51.8,1528000
2011-02-22,50,52.95,50,50.6,1816000
2011-02-23,50.35,50.5,48.85,49,1700000
2011-02-24,49.3,49.3,46.5,47.65,3032000
2011-02-25,48.5,49,47.35,48.25,904000
2011-02-28,48.05,52.85,47.6,50.85,4340000
2011-03-01,51.45,56.35,51.45,56.05,7528000
2011-03-03,55.6,56.65,53.9,55.5,4948000
2011-03-04,56.4,56.4,54.7,54.95,1864000
2011-03-07,53,53.8,52.2,52.9,2300000
2011-03-08,53.3,55.45,52.75,55.2,3096000
2011-03-09,55.6,56.55,54.55,56.2,3020000
2011-03-10,55.7,56.2,55.4,56.1,1396000
2011-03-11,55.4,56.75,54.3,55.15,1504000
2011-03-14,54.3,55.8,54.3,55.6,1016000
2011-03-15,52.85,54.7,52.5,54.05,1072000
2011-03-16,54.5,58.6,54.35,58.15,5368000
2011-03-17,57.5,59.75,57.3,58.8,4060000
2011-03-18,59.45,59.45,57.45,57.6,1976000
2011-03-21,58,58,56.4,56.7,2060000
2011-03-22,57,57.6,55.75,56.05,1716000
2011-03-23,56.15,56.5,55.65,56.15,868000
2011-03-24,56.1,58.85,56.05,57.8,3192000
2011-03-25,58.35,58.45,57.45,58.15,1476000
2011-03-28,58.6,61.45,58.25,60.35,4412000
2011-03-29,60.95,60.95,58.5,58.8,2304000
2011-03-30,59.5,59.6,58.8,59.2,1596000
2011-03-31,60.15,61,59.1,60.5,3076000
2011-04-01,61.4,63.45,61,62.4,5612000
2011-04-04,62.6,62.85,61.5,62.2,2432000
2011-04-05,62.65,63.15,61.1,61.8,2892000
2011-04-06,62.2,62.75,60.75,61.1,1856000
2011-04-07,61,61.8,59.8,60.35,3776000
2011-04-08,60.6,60.75,58.5,59.25,2616000
2011-04-11,58.6,58.85,56.65,57.35,2140000
2011-04-13,56.55,59.25,56.55,58.95,1500000
2011-04-15,58.95,60.5,57.7,60.2,2612000
2011-04-18,60.35,60.8,57,58.2,2708000
2011-04-19,57.8,59.65,57.75,59.45,1676000
2011-04-20,60.15,61,59.45,60.5,2260000
2011-04-21,60.85,61.3,59.1,59.4,1472000
2011-04-25,59.15,59.7,58.3,58.75,1028000
2011-04-26,58.95,61.85,58.8,61.3,6272000
2011-04-27,61.5,61.7,59.9,60.35,3144000
2011-04-28,61.2,61.2,60.15,60.35,3060000
2011-04-29,60.8,62.5,55,56.5,26428000
2011-05-02,56.95,57.95,55.7,56.55,4948000
2011-05-03,56.6,56.65,54.45,55.4,3484000
2011-05-04,55.05,55.3,52,53.7,5556000
2011-05-05,53.5,54.65,51.25,51.65,2376000
2011-05-06,52.6,55.65,51.4,55.1,4544000
2011-05-09,55.5,55.55,53.85,54.4,1008000
2011-05-10,54.45,55.1,52.9,53.65,1208000
2011-05-11,54.05,54.35,53.7,54.1,708000
2011-05-12,53.55,54.8,52.8,53.1,1500000
2011-05-13,53.3,55.5,53.1,54.5,2344000
2011-05-16,53.4,54.7,52.9,54.35,1316000
2011-05-17,54.5,54.5,53,53.7,920000
2011-05-18,54,54,51.8,52.45,1800000
2011-05-19,51.2,53.25,51.2,53.15,868000
2011-05-20,53.05,54.3,52.95,53.75,1172000
2011-05-23,53.2,53.35,52,52.25,956000
2011-05-24,52.45,52.55,50.2,51.4,1524000
2011-05-25,51.2,51.4,49.9,50.8,2508000
2011-05-26,51.45,51.7,50.6,51,2256000
2011-05-27,51.65,52.35,51.1,52,908000
2011-05-30,52.45,53.5,52.1,53.2,748000
2011-05-31,53.95,54.8,53.5,54.6,1280000
2011-06-01,55.55,56.8,55.15,55.95,4772000
2011-06-02,54.1,56,53.85,54.65,1736000
2011-06-03,55,55.35,54.1,54.3,832000
2011-06-06,54.2,54.9,53.25,54.4,932000
2011-06-07,54.15,55.4,54,55.05,792000
2011-06-08,54.9,55.1,53.9,54.6,636000
2011-06-09,54.5,54.85,53.4,53.75,744000
2011-06-10,53.95,54.15,53.35,53.75,404000
2011-06-13,54.1,55,54.1,54.35,728000
2011-06-14,54.8,55.8,54.25,55.35,2024000
2011-06-15,55.5,55.55,54.05,54.55,740000
2011-06-16,54.1,54.5,53.55,53.75,540000
2011-06-17,54,54.1,52.8,52.9,924000
2011-06-20,53,53.15,50.5,51.75,916000
2011-06-21,52.4,52.8,51.05,51.4,652000
2011-06-22,51.55,51.8,51.05,51.2,396000
2011-06-23,50.85,51.65,50.3,51,460000
2011-06-24,51.55,52.55,51.3,52.4,1048000
2011-06-27,52,53.15,51.6,52.85,1536000
2011-06-28,52.9,53.15,51.85,52.15,1144000
2011-06-29,52.25,53.5,52,53.15,3040000
2011-06-30,53.85,54.45,53.3,54.15,2804000
2011-07-01,55,55.4,53.05,53.45,3424000
2011-07-04,54.3,54.3,53.4,53.95,1020000
2011-07-05,53.9,54.6,53.6,53.9,768000
2011-07-06,53.6,54.1,53.4,53.65,596000
2011-07-07,53.75,54.15,53.25,53.55,480000
2011-07-08,54,54,52.6,52.9,1164000
2011-07-11,52.5,52.7,52,52.6,636000
2011-07-12,51.6,51.95,50.65,51.6,792000
2011-07-13,51.6,51.95,50.95,51.6,796000
2011-07-14,51.4,51.9,51.15,51.2,1288000
2011-07-15,51.15,51.5,50.8,51.2,932000
2011-07-18,51.2,51.4,50.65,50.75,312000
2011-07-19,51.5,53,51.5,52,1904000
2011-07-20,52.25,52.25,50.7,50.8,908000
2011-07-21,50.6,50.6,49,50.25,872000
2011-07-22,50.85,51.35,50.4,51.2,644000
2011-07-25,50.7,52.15,50.7,51.65,1036000
